Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,TwoP,TwoPA,ThreeP,ThreePA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FGPercent,TwoPPercent,ThreePPercent,eFGPercent,FTPercent,TSPercent,WS,G,GS,MP,PER,ThreePAr,FTr,ORBPercent,DRBPercent,TRBPercent,ASTPercent,STLPercent,BLKPercent,TOVPercent,USGPercent,ORtg,DRtg,OWS,DWS,WS,WSperFortyEight,OBPM,DBPM,BPM,VORP
1,James Harden,2014-15,25,HOU,NBA,81,81,36.8,8,18.1,5.4,11.3,2.6,6.9,8.8,10.2,0.9,4.7,5.7,7,1.9,0.7,4,2.6,27.4,0.44,0.48,0.375,0.511,0.868,0.605,16.4,81,81,2981,26.7,0.378,0.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,118,103,12.2,4.2,16.4,0.265,7.4,1,8.4,7.8
2,Chris Paul,2014-15,29,LAC,NBA,82,82,34.8,6.9,14.3,5.2,10,1.7,4.3,3.5,3.9,0.6,4,4.6,10.2,1.9,0.2,2.3,2.5,19.1,0.485,0.523,0.398,0.545,0.9,0.596,16.1,82,82,2857,26,0.298,0.274,2.1,12.5,7.4,47.4,2.8,0.4,12.7,23.7,126,105,12.9,3.2,16.1,0.27,7.5,0,7.5,6.9
3,Stephen Curry,2014-15,26,GSW,NBA,80,80,32.7,8.2,16.8,4.6,8.7,3.6,8.1,3.9,4.2,0.7,3.6,4.3,7.7,2,0.2,3.1,2,23.8,0.487,0.528,0.443,0.594,0.914,0.638,15.7,80,80,2613,28,0.482,0.251,2.4,11.4,7,38.6,3,0.5,14.3,28.9,122,101,11.5,4.1,15.7,0.288,9.6,0.3,9.9,7.9
4,Anthony Davis,2014-15,21,NOP,NBA,68,68,36.1,9.4,17.6,9.4,17.5,0,0.2,5.5,6.8,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.4,0.535,0.54,0.083,0.536,0.805,0.591,14,68,68,2455,30.8,0.01,0.384,8,24.1,16.1,11.6,2.1,6.2,6.3,27.8,122,100,9.9,4.2,14,0.274,4.2,3,7.1,5.7
5,DeAndre Jordan,2014-15,26,LAC,NBA,82,82,34.4,4.6,6.5,4.6,6.5,0,0,2.3,5.7,4.8,10.1,15,0.7,1,2.2,1.3,3,11.5,0.71,0.713,0.25,0.711,0.397,0.638,12.8,82,82,2820,21,0.007,0.882,16.2,32.4,24.5,3.2,1.5,5.4,12.8,13.6,126,98,7.4,5.4,12.8,0.217,0.9,3.2,4.1,4.3
6,Jimmy Butler,2014-15,25,CHI,NBA,65,65,38.7,6.5,14,5.4,11.1,1.1,3,5.9,7.1,1.8,4.1,5.8,3.3,1.8,0.6,1.4,1.7,20,0.462,0.484,0.378,0.502,0.834,0.583,11.2,65,65,2513,21.3,0.212,0.508,5.1,11.2,8.2,14.4,2.3,1,7.7,21.6,122,104,8.2,3,11.2,0.214,4.1,0.6,4.7,4.2
7,Damian Lillard,2014-15,24,POR,NBA,82,82,35.7,7.2,16.6,4.8,9.6,2.4,7,4.2,4.9,0.6,4,4.6,6.2,1.2,0.3,2.7,2,21,0.434,0.5,0.343,0.506,0.864,0.56,10.6,82,82,2925,20.7,0.421,0.293,1.8,11.8,6.9,29,1.7,0.5,12.6,26.9,112,105,7.3,3.3,10.6,0.174,5,0,5.1,5.2
8,Russell Westbrook,2014-15,26,OKC,NBA,67,67,34.4,9.4,22,8.1,17.7,1.3,4.3,8.1,9.8,1.9,5.4,7.3,8.6,2.1,0.2,4.4,2.7,28.1,0.426,0.457,0.299,0.455,0.835,0.536,10.6,67,67,2302,29.1,0.196,0.445,5.9,16.7,11.4,47,3,0.5,14.3,38.4,111,103,7.5,3.2,10.6,0.222,8.8,2.2,11,7.6
9,Pau Gasol,2014-15,34,CHI,NBA,78,78,34.4,7.3,14.8,7.2,14.4,0.2,0.3,3.8,4.7,2.8,9,11.8,2.7,0.3,1.9,2,1.9,18.5,0.494,0.495,0.462,0.5,0.803,0.55,10.4,78,78,2681,22.7,0.023,0.317,9.2,27.6,18.6,14.4,0.5,4,10.7,24.7,112,101,6,4.4,10.4,0.187,0.7,2.1,2.8,3.2
10,Kyrie Irving,2014-15,22,CLE,NBA,75,75,36.4,7.7,16.5,5.6,11.4,2.1,5,4.2,4.9,0.7,2.4,3.2,5.2,1.5,0.3,2.5,1.9,21.7,0.468,0.491,0.415,0.532,0.863,0.583,10.4,75,75,2730,21.5,0.306,0.296,2.3,7.5,5,25,2.2,0.6,11.8,26.2,117,108,8.4,2,10.4,0.183,4.7,-1.4,3.3,3.7
11,LeBron James,2014-15,30,CLE,NBA,69,69,36.1,9,18.5,7.3,13.6,1.7,4.9,5.4,7.7,0.7,5.3,6,7.4,1.6,0.7,3.9,2,25.3,0.488,0.536,0.354,0.535,0.71,0.577,10.4,69,69,2493,25.9,0.265,0.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,112,105,7.4,2.9,10.4,0.199,6.2,1.2,7.4,5.9
12,Tyson Chandler,2014-15,32,DAL,NBA,75,75,30.5,3.9,5.9,3.9,5.9,0,0,2.5,3.4,3.9,7.6,11.5,1.1,0.6,1.2,1.4,2.3,10.3,0.666,0.666,,0.666,0.72,0.697,10.3,75,75,2286,20.1,0,0.584,14.1,27.4,20.7,5.3,0.9,3.2,16,12.8,133,103,7.2,3.1,10.3,0.216,1.9,2.3,4.2,3.6
13,Marc Gasol,2014-15,30,MEM,NBA,81,81,33.2,6.5,13.2,6.5,13,0,0.2,4.3,5.4,1.4,6.4,7.8,3.8,0.9,1.6,2.2,2.6,17.4,0.494,0.5,0.176,0.496,0.795,0.558,10.2,81,81,2687,21.7,0.016,0.41,4.9,21.8,13.4,19.7,1.4,4,12.2,24.6,111,100,5.5,4.7,10.2,0.182,1.3,3.5,4.8,4.6
14,Tim Duncan,2014-15,38,SAS,NBA,77,77,28.9,5.4,10.6,5.4,10.5,0,0.1,3,4,2.2,6.9,9.1,3,0.8,2,1.7,2.1,13.9,0.512,0.514,0.286,0.513,0.74,0.56,9.6,77,77,2227,22.6,0.009,0.38,8.8,26.7,17.9,16.8,1.4,5.1,12.1,22.2,113,97,4.9,4.7,9.6,0.207,0.8,4.7,5.5,4.2
