# exper:  Experience (years)
# educ:   Education (1=high school, 2=college, 3=advanced degree)
# mgt:    Management Responsibility (0=no, 1=yes)
# salary: Salary (dollars)
exper educ mgt salary dummy_col dummy_ad  
    1    1   1  58418  0            0 
    1    3   0  48870  0            1 
    1    3   1  78731  0            1 
    1    2   0  47501  1            0 
    1    3   0  49539  0            1 
    2    2   1  87871  1            0
    2    2   0  49560  1            0
    2    1   0  44352  0            0
    2    3   0  51341  0            1
    3    2   0  51838  1            0
    3    1   1  63045  0            0
    3    2   1  89972  1            0
    3    3   1  83358  0            1
    4    1   0  48066  0            0
    4    3   1  85307  0            1
    4    3   0  55703  0            1
    4    2   0  54242  1            0
    5    2   0  55761  1            0
    5    3   0  57580  0            1
    5    1   1  67213  0            0
    6    1   0  51935  0            0
    6    3   1  89892  0            1
    6    2   0  58262  1            0
    6    2   1  96342  1            0
    7    1   1  71477  0            0
    8    2   0  62321  1            0
    8    1   1  73271  1            0
    8    3   1  93395  0            1
    8    1   0  57037  0            0
   10    1   0  60906  0            0
   10    2   0  67116  1            0
   10    3   1  97563  0            1
   10    2   1 100114  1            0
   11    2   1 106976  1            0
   11    1   0  62565  0            0
   12    2   0  71073  1            0
   12    3   1 101764  0            1
   13    1   0  67318  0            0
   13    2   1 110849  1            0
   14    2   0  75565  1            0
   15    3   1 108134  0            1
   16    2   1 117194  1            0
   16    2   0  79308  1            0
   16    1   0  73603  0            0
   17    2   0  80861  1            0
   20    1   0  81447  0            0
